label:               N/A                                               
model:               eaDCA                                             
input MSA:           /home/mbettiati/LBE_MatteoBettiati/tests/Artificial_rybo_gen_jl/own_dca/data/input_test/Twister_Ribozyme/Twister_Ribozyme.fasta
alphabet:            rna                                               
sampler:             gibbs                                             
nchains:             2721                                              
nsweeps:             10                                                
lr:                  0.05                                              
target Pearson Cij:  0.95                                              
gsteps:              10                                                
factivate:           0.001                                             

Epochs     Pearson    Slope      LL_train   LL_test    ESS        Entropy    Density    Time      
10         0.693      0.277      -52.290    nan        0.836      62.953     0.686      7.894     
20         0.770      0.483      -46.647    nan        0.804      56.757     1.095      15.407    
30         0.813      0.570      -43.172    nan        0.780      53.257     1.453      22.826    
40         0.840      0.611      -40.852    nan        0.758      49.999     1.771      30.317    
50         0.860      0.664      -39.221    nan        0.737      47.558     1.963      37.650    
60         0.872      0.701      -38.036    nan        0.725      45.588     2.088      45.268    
70         0.881      0.732      -37.062    nan        0.709      44.130     2.240      52.778    
80         0.891      0.741      -36.234    nan        0.684      42.961     2.395      60.090    
90         0.898      0.764      -35.503    nan        0.673      41.356     2.547      67.456    
100        0.907      0.810      -34.802    nan        0.641      40.927     2.775      74.893    
110        0.910      0.819      -34.108    nan        0.621      40.172     3.094      82.570    
120        0.919      0.827      -33.405    nan        0.613      39.644     3.390      90.155    
130        0.926      0.851      -32.731    nan        0.591      38.910     3.664      97.654    
140        0.930      0.861      -32.102    nan        0.577      38.667     3.915      104.990   
150        0.935      0.855      -31.513    nan        0.559      38.137     4.157      112.592   
160        0.939      0.876      -30.958    nan        0.545      37.120     4.382      120.091   
170        0.942      0.873      -30.411    nan        0.527      36.779     4.617      127.468   
180        0.945      0.885      -29.880    nan        0.504      35.750     4.892      135.162   
190        0.946      0.871      -29.377    nan        0.496      35.147     5.127      142.535   
200        0.949      0.902      -28.885    nan        0.455      34.414     5.321      149.696   
206        0.951      0.906      -28.654    nan        0.434      34.074     5.478      153.432   
