label:               N/A                                               
model:               eaDCA                                             
input MSA:           /home/mbettiati/LBE_MatteoBettiati/tests/Artificial_rybo_gen_jl/own_dca/data/input_test/raw/Twister_Ribozyme/Twister_Ribozyme.fasta
alphabet:            rna                                               
sampler:             gibbs                                             
nchains:             2720                                              
nsweeps:             10                                                
lr:                  0.05                                              
target Pearson Cij:  0.95                                              
gsteps:              10                                                
factivate:           0.001                                             

Epochs     Pearson    Slope      LL_train   LL_test    ESS        Entropy    Density    Time       Gaps_freq 
10         0.828      0.514      -49.428    0.000      0.732      54.417     0.885      7.988      0.141     
20         0.900      0.737      -45.834    0.000      0.679      48.310     1.214      15.484     0.150     
30         0.916      0.802      -44.018    0.000      0.651      45.833     1.344      22.922     0.151     
40         0.925      0.828      -42.904    0.000      0.619      44.285     1.464      30.371     0.150     
50         0.929      0.863      -42.138    0.000      0.579      42.593     1.599      37.813     0.149     
60         0.936      0.871      -41.468    0.000      0.547      41.810     1.715      45.261     0.151     
70         0.938      0.858      -40.947    0.000      0.534      41.234     1.762      52.709     0.149     
80         0.942      0.874      -40.573    0.000      0.521      40.260     1.806      60.160     0.151     
90         0.945      0.867      -40.335    0.000      0.498      39.637     1.831      67.604     0.149     
100        0.946      0.862      -40.221    0.000      0.491      39.056     1.856      75.056     0.150     
110        0.947      0.860      -40.137    0.000      0.469      38.814     1.867      82.507     0.152     
116        0.951      0.863      -40.124    0.000      0.457      38.508     1.874      86.322     0.150     
