label:               N/A                                               
model:               eaDCA                                             
input MSA:           /home/mbettiati/LBE_MatteoBettiati/tests/Artificial_rybo_gen_jl/own_dca/data/input_test/Twister_Ribozyme/Twister_Ribozyme.fasta
alphabet:            rna                                               
sampler:             gibbs                                             
nchains:             2721                                              
nsweeps:             10                                                
lr:                  0.05                                              
target Pearson Cij:  0.95                                              
gsteps:              10                                                
factivate:           0.001                                             

Epochs     Pearson    Slope      LL_train   LL_test    ESS        Entropy    Density    Time       Gaps_freq 
10         0.676      0.240      -54.214    0.000      0.896      63.077     0.521      8.170      0.136     
20         0.777      0.475      -48.592    0.000      0.862      57.908     0.950      15.724     0.125     
30         0.818      0.569      -45.282    0.000      0.841      54.960     1.292      23.290     0.118     
40         0.843      0.622      -43.095    0.000      0.824      52.822     1.632      30.806     0.112     
50         0.859      0.652      -41.524    0.000      0.806      50.683     1.901      38.609     0.106     
60         0.873      0.719      -40.303    0.000      0.786      48.558     2.151      46.303     0.112     
70         0.885      0.748      -39.297    0.000      0.769      47.507     2.361      54.201     0.113     
80         0.896      0.772      -38.387    0.000      0.755      45.958     2.681      62.232     0.115     
90         0.906      0.778      -37.551    0.000      0.721      44.910     2.963      69.854     0.117     
100        0.913      0.812      -36.762    0.000      0.697      43.657     3.289      77.492     0.120     
110        0.918      0.834      -36.034    0.000      0.682      42.688     3.591      85.128     0.121     
120        0.927      0.830      -35.318    0.000      0.666      41.987     3.825      92.959     0.119     
130        0.930      0.834      -34.643    0.000      0.655      40.905     4.121      100.795    0.119     
140        0.933      0.852      -34.028    0.000      0.638      40.066     4.411      108.422    0.119     
150        0.941      0.866      -33.427    0.000      0.616      39.778     4.740      115.999    0.120     
160        0.941      0.864      -32.868    0.000      0.584      39.018     4.993      123.633    0.119     
170        0.945      0.886      -32.332    0.000      0.548      38.219     5.256      131.215    0.120     
180        0.946      0.879      -31.815    0.000      0.525      37.369     5.503      138.758    0.120     
190        0.949      0.903      -31.309    0.000      0.493      36.952     5.744      146.299    0.119     
192        0.950      0.888      -31.259    0.000      0.489      36.868     5.786      147.154    0.120     
